

                                     LOADEST
                      A Program to Estimate Constituent Loads
                U.S. Geological Survey, Version: MOD48 (March 2013)
                -------------------------------------------------

 HEADER FILE     : header.inp                              
 CALIBRATION FILE: calib.inp                               
 ESTIMATION FILE : est.inp                                 



 Potomac River at Little Falls/Chain Bridge (Station # 01646580)                 

 -----------------------------------------------------------

    Echo Output File Part I: Reading from the Header File

 -----------------------------------------------------------


 Estimated Values Print Option (PRTOPT):    1
 Standard Error Option (SEOPT)         :    3
 Load Option (LDOPT)                   :    2



 Model Number  9 was selected. Regression Model Number  9 is used.





 Number of Constituents (NCONST):    1

                                              Conc.            Load
 Constituent                                  Units (Flag)     Units (Flag)
 --------------------------------------------------------------------------
 orthophosphate                               mg/L (1)         kg/d (1) 



 -----------------------------------------------------------

                        Echo Output File Part II: 
              Reading from the Calibration File

 -----------------------------------------------------------


 Data Variables:

 Date      Time    Streamflow
 ------------------------------------------------------
 19781219  1000    5.7000E+03
 19790301  1230    7.8200E+04
 19790319  1230    1.6600E+04
 19790327  1000    4.8300E+04
 19790426  1300    1.0100E+04
 19790523  1045    9.9600E+03
 19790605  1030    3.3900E+04
 19790613  1030    2.0600E+04
 19790717  1030    4.6600E+03
 19790815  1030    5.0000E+03
 19790906  1330    5.1200E+04
 19790906  2000    5.1200E+04
 19790907   745    8.4000E+04
 19790907  1100    8.4000E+04
 19790907  1430    8.4000E+04
 19790907  1830    8.4000E+04
 19790909  1415    3.8900E+04
 19791011  1130    6.9700E+04
 19791127  1100    1.2900E+04
 19791212  1030    8.8300E+03
 19800114  1030    1.0600E+04
 19800211  1030    7.5100E+03
 19800311  1100    1.4900E+04
 19800318  1230    2.4300E+04
 19800318  1600    2.4300E+04
 19800318  1900    2.4300E+04
 19800319  1000    4.1800E+04
 19800319  1315    4.1800E+04
 19800322  1045    5.8700E+04
 19800322  1330    5.8700E+04
 19800322  1630    5.8700E+04
 19800323  1230    5.6600E+04
 19800323  1450    5.6600E+04
 19800324  1230    4.2500E+04
 19800401  1430    4.4200E+04
 19800402  1100    5.8300E+04
 19800402  1300    5.8300E+04
 19800403   930    5.0000E+04
 19800416  1030    4.3100E+04
 19800502  1130    6.8100E+04
 19800502  1530    6.8100E+04
 19800503  1230    5.8400E+04
 19800513  1045    1.2600E+04
 19800605  1210    1.1000E+04
 19800617  1100    7.1200E+03
 19800617  1100    7.1200E+03
 19800623  1900    5.8300E+03
 19800624   630    5.3400E+03
 19800624  1900    5.3400E+03
 19800625   630    4.9500E+03
 19800625  1900    4.9500E+03
 19800626   630    4.6100E+03
 19800630  1240    3.8900E+03
 19800701  1100    3.9400E+03
 19800709  1100    4.4400E+03
 19800711  1035    1.0100E+04
 19800711  1036    1.0100E+04
 19800715   945    4.8800E+03
 19800715  1100    4.8800E+03
 19800721  1400    2.6900E+03
 19800731  1229    2.9200E+03
 19800805     0    2.9900E+03
 19800805  1440    2.9900E+03
 19800805  1440    2.9900E+03
 19800808  1325    2.5800E+03
 19800808  1325    2.5800E+03
 19800809  1515    2.4400E+03
 19800811  1120    2.4300E+03
 19800811  1120    2.4300E+03
 19800813  1334    2.4500E+03
 19800813  1400    2.4500E+03
 19800813  1400    2.4500E+03
 19800815  1334    3.1100E+03
 19800818  1025    2.9100E+03
 19800820  1115    2.7500E+03
 19800823  1710    6.7600E+03
 19800828  1000    2.9800E+03
 19800903  1330    1.9000E+03
 19800905  2040    1.9000E+03
 19800905  2040    1.9000E+03
 19800905  2041    1.9000E+03
 19800911  1315    1.9900E+03
 19800911  1315    1.9900E+03
 19800916  1340    1.2900E+03
 19800916  1340    1.2900E+03
 19800917  1030    1.2500E+03
 19800917  1030    1.2500E+03
 19800918  1550    1.5400E+03
 19800930  1330    1.5500E+03
 19801027  1030    2.9700E+03
 19801201  1030    6.2300E+03
 19801231  1100    2.3100E+03
 19810127  1230    2.0000E+03
 19810212  1900    1.2800E+04
 19810221  1100    2.2700E+04
 19810221  1530    2.2700E+04
 19810222  2000    3.3000E+04
 19810224  1430    4.3300E+04
 19810224  1830    4.3300E+04
 19810225  1320    4.1200E+04
 19810304  1400    1.1300E+04
 19810331  1000    7.6800E+03
 19810414  1330    3.4800E+04
 19810414  1900    3.4800E+04
 19810415   915    5.3400E+04
 19810415  1400    5.3400E+04
 19810416  1000    4.2800E+04
 19810428  1130    8.2800E+03
 19810601  1330    1.6700E+04
 19810623  1100    1.5200E+04
 19810727  1145    2.2200E+03
 19810901  1230    2.2900E+03
 19810928  1200    1.4700E+03
 19811110  1130    3.3400E+03
 19820120  1300    5.8100E+03
 19820511  1000    8.2100E+03
 19820714  1030    7.1600E+03
 19820921   945    1.5300E+03
 19821201  1030    5.6200E+03
 19830209  1015    1.1500E+04
 19830420  1015    3.2700E+04
 19830525  1030    4.8000E+04
 19830719  1030    2.5400E+03
 19830913  1130    1.2500E+03
 19831115  1230    8.5200E+03
 19840126  1215    8.5400E+03
 19840216  1400    2.0900E+05
 19840326  1000    3.4900E+04
 19840507  1200    2.8000E+04
 19840912  1100    3.1600E+03
 19841114  1000    3.2300E+03
 19850114  1100    7.7000E+03
 19850318  1230    8.5400E+03
 19850506  1100    2.6200E+04
 19850708  1000    2.1000E+03
 19850708  1005    2.1000E+03
 19850904  1100    2.0400E+03
 19850904  1105    2.0400E+03
 19851105  1045    5.8800E+04
 19851105  1100    5.8800E+04
 19851107  1430    2.9300E+05
 19860109  1030    4.7000E+03
 19860109  1115    4.7000E+03
 19860305  1120    1.3900E+04
 19860305  1121    1.3900E+04
 19860305  1125    1.3900E+04
 19860506  1130    6.5100E+03
 19860506  1135    6.5100E+03
 19860702  1100    1.8400E+03
 19860702  1110    1.8400E+03
 19860903  1100    1.1700E+03
 19860903  1105    1.1700E+03
 19861104  1100    1.4500E+03
 19861104  1105    1.4500E+03
 19870106  1110    7.4200E+03
 19870106  1115    7.4200E+03
 19870302  1115    3.7800E+04
 19870302  1120    3.7800E+04
 19870514  1015    1.2000E+04
 19870514  1020    1.2000E+04
 19870707  1105    3.9200E+03
 19870707  1110    3.9200E+03
 19870909  1025    7.9600E+03
 19870909  1030    7.9600E+03
 19871110  1045    2.1200E+03
 19871110  1050    2.1200E+03
 19880107  1040    7.0000E+03
 19880301  1100    6.8000E+03
 19880301  1105    6.8000E+03
 19880503  1100    5.0200E+03
 19880503  1105    5.0200E+03
 19880708  1005    1.3300E+03
 19880708  1010    1.3300E+03
 19880907  1045    3.5700E+03
 19880907  1050    3.5700E+03
 19881101  1020    1.5400E+03
 19881101  1025    1.5400E+03
 19890105  1100    3.3200E+03
 19890105  1105    3.3200E+03
 19890315  1050    2.1400E+04
 19890315  1055    2.1400E+04
 19890504  1040    4.1200E+04
 19890504  1045    4.1200E+04
 19890627  1030    1.5900E+04
 19890627  1035    1.5900E+04
 19890906  1050    3.5100E+03
 19890906  1055    3.5100E+03
 19891031  1130    5.9900E+03
 19891031  1135    5.9900E+03
 19900130  1105    2.2700E+04
 19900306  1230    7.5100E+03
 19900306  1235    7.5100E+03
 19900501  1100    8.0000E+03
 19900501  1105    8.0000E+03
 19900626  1045    3.1700E+03
 19900626  1050    3.1700E+03
 19900905  1100    2.4700E+03
 19900905  1105    2.4700E+03




 Constituent: orthophosphate                               

                                  Detection
 Date      Time    Concentr.      Limit
 -------------------------------------------------
 19781219  1000    4.0000E-02     1.0000E-02
 19790301  1230    3.0000E-02     1.0000E-02
 19790319  1230    2.0000E-02     1.0000E-02
 19790327  1000    1.0000E-02     1.0000E-02
 19790426  1300    1.0000E-02*    1.0000E-02
 19790523  1045    1.0000E-02*    1.0000E-02
 19790605  1030    1.0000E-02     1.0000E-02
 19790613  1030    3.0000E-02     1.0000E-02
 19790717  1030    1.0000E-02*    1.0000E-02
 19790815  1030    1.0000E-02*    1.0000E-02
 19790906  1330    3.0000E-02     1.0000E-02
 19790906  2000    3.0000E-02     1.0000E-02
 19790907   745    3.0000E-02     1.0000E-02
 19790907  1100    4.0000E-02     1.0000E-02
 19790907  1430    4.0000E-02     1.0000E-02
 19790907  1830    2.0000E-02     1.0000E-02
 19790909  1415    4.0000E-02     1.0000E-02
 19791011  1130    4.0000E-02     1.0000E-02
 19791127  1100    1.0000E-02*    1.0000E-02
 19791212  1030    1.0000E-02*    1.0000E-02
 19800114  1030    3.0000E-02     1.0000E-02
 19800211  1030    1.0000E-02     1.0000E-02
 19800311  1100    1.0000E-02     1.0000E-02
 19800318  1230    1.0000E-02     1.0000E-02
 19800318  1600    1.0000E-02*    1.0000E-02
 19800318  1900    1.0000E-02     1.0000E-02
 19800319  1000    3.0000E-02     1.0000E-02
 19800319  1315    2.0000E-02     1.0000E-02
 19800322  1045    3.0000E-02     1.0000E-02
 19800322  1330    3.0000E-02     1.0000E-02
 19800322  1630    8.0000E-02     1.0000E-02
 19800323  1230    5.0000E-02     1.0000E-02
 19800323  1450    6.0000E-02     1.0000E-02
 19800324  1230    1.0000E-02*    1.0000E-02
 19800401  1430    2.0000E-02     1.0000E-02
 19800402  1100    3.0000E-02     1.0000E-02
 19800402  1300    2.0000E-02     1.0000E-02
 19800403   930    1.0000E-02*    1.0000E-02
 19800416  1030    2.0000E-02     1.0000E-02
 19800502  1130    1.0000E-02*    1.0000E-02
 19800502  1530    1.0000E-02*    1.0000E-02
 19800503  1230    1.0000E-02*    1.0000E-02
 19800513  1045    1.0000E-02*    1.0000E-02
 19800605  1210    2.5110E-01     1.0000E-02
 19800617  1100    2.5110E-01     1.0000E-02
 19800617  1100    1.0000E-02*    1.0000E-02
 19800623  1900    1.0000E-02*    1.0000E-02
 19800624   630    1.0000E-02*    1.0000E-02
 19800624  1900    1.0000E-02*    1.0000E-02
 19800625   630    1.0000E-02*    1.0000E-02
 19800625  1900    1.0000E-02*    1.0000E-02
 19800626   630    1.0000E-02*    1.0000E-02
 19800630  1240    2.5110E-01     1.0000E-02
 19800701  1100    2.5110E-01     1.0000E-02
 19800709  1100    1.0000E-02     1.0000E-02
 19800711  1035    2.5110E-01     1.0000E-02
 19800711  1036    2.5110E-01     1.0000E-02
 19800715   945    2.5110E-01     1.0000E-02
 19800715  1100    1.0000E-02     1.0000E-02
 19800721  1400    2.5110E-01     1.0000E-02
 19800731  1229    2.5110E-01     1.0000E-02
 19800805     0    2.5110E-01     1.0000E-02
 19800805  1440    2.5110E-01     1.0000E-02
 19800805  1440    2.5110E-01     1.0000E-02
 19800808  1325    2.5110E-01     1.0000E-02
 19800808  1325    2.5110E-01     1.0000E-02
 19800809  1515    2.5110E-01     1.0000E-02
 19800811  1120    2.5110E-01     1.0000E-02
 19800811  1120    2.5110E-01     1.0000E-02
 19800813  1334    2.5110E-01     1.0000E-02
 19800813  1400    2.5110E-01     1.0000E-02
 19800813  1400    2.0000E-02     1.0000E-02
 19800815  1334    2.5110E-01     1.0000E-02
 19800818  1025    2.5110E-01     1.0000E-02
 19800820  1115    2.5110E-01     1.0000E-02
 19800823  1710    2.5110E-01     1.0000E-02
 19800828  1000    2.5110E-01     1.0000E-02
 19800903  1330    2.5110E-01     1.0000E-02
 19800905  2040    2.5110E-01     1.0000E-02
 19800905  2040    2.5110E-01     1.0000E-02
 19800905  2041    2.5110E-01     1.0000E-02
 19800911  1315    2.5110E-01     1.0000E-02
 19800911  1315    2.5110E-01     1.0000E-02
 19800916  1340    2.5110E-01     1.0000E-02
 19800916  1340    2.5110E-01     1.0000E-02
 19800917  1030    2.5110E-01     1.0000E-02
 19800917  1030    2.0000E-02     1.0000E-02
 19800918  1550    2.5110E-01     1.0000E-02
 19800930  1330    2.5110E-01     1.0000E-02
 19801027  1030    2.0000E-02     1.0000E-02
 19801201  1030    6.0000E-02     1.0000E-02
 19801231  1100    1.0000E-02*    1.0000E-02
 19810127  1230    5.0000E-02     1.0000E-02
 19810212  1900    4.0000E-02     1.0000E-02
 19810221  1100    5.0000E-02     1.0000E-02
 19810221  1530    6.0000E-02     1.0000E-02
 19810222  2000    6.0000E-02     1.0000E-02
 19810224  1430    6.0000E-02     1.0000E-02
 19810224  1830    8.0000E-02     1.0000E-02
 19810225  1320    8.0000E-02     1.0000E-02
 19810304  1400    1.0000E-02     1.0000E-02
 19810331  1000    1.0000E-02     1.0000E-02
 19810414  1330    6.0000E-02     1.0000E-02
 19810414  1900    5.0000E-02     1.0000E-02
 19810415   915    3.0000E-02     1.0000E-02
 19810415  1400    3.0000E-02     1.0000E-02
 19810416  1000    2.0000E-02     1.0000E-02
 19810428  1130    2.0000E-02     1.0000E-02
 19810601  1330    5.0000E-02     1.0000E-02
 19810623  1100    6.0000E-02     1.0000E-02
 19810727  1145    4.0000E-02     1.0000E-02
 19810901  1230    2.0000E-02     1.0000E-02
 19810928  1200    5.0000E-02     1.0000E-02
 19811110  1130    6.0000E-02     1.0000E-02
 19820120  1300    5.0000E-02     1.0000E-02
 19820511  1000    1.0000E-02*    1.0000E-02
 19820714  1030    1.0000E-02*    1.0000E-02
 19820921   945    1.0000E-02*    1.0000E-02
 19821201  1030    5.0000E-02     1.0000E-02
 19830209  1015    5.0000E-02     1.0000E-02
 19830420  1015    3.0000E-02     1.0000E-02
 19830525  1030    3.0000E-02     1.0000E-02
 19830719  1030    6.0000E-02     1.0000E-02
 19830913  1130    8.0000E-02     1.0000E-02
 19831115  1230    8.0000E-02     1.0000E-02
 19840126  1215    5.0000E-02     1.0000E-02
 19840216  1400    3.0000E-02     1.0000E-02
 19840326  1000    1.0000E-02*    1.0000E-02
 19840507  1200    3.0000E-02     1.0000E-02
 19840912  1100    2.0000E-02     1.0000E-02
 19841114  1000    8.0000E-02     1.0000E-02
 19850114  1100    4.0000E-02     1.0000E-02
 19850318  1230    3.0000E-02     1.0000E-02
 19850506  1100    4.0000E-02     1.0000E-02
 19850708  1000    1.0000E-02*    1.0000E-02
 19850708  1005    1.0000E-02     1.0000E-02
 19850904  1100    9.0000E-02     1.0000E-02
 19850904  1105    8.0000E-02     1.0000E-02
 19851105  1045    6.0000E-02     1.0000E-02
 19851105  1100    5.0000E-02     1.0000E-02
 19851107  1430    2.0000E-02     1.0000E-02
 19860109  1030    3.0000E-02     1.0000E-02
 19860109  1115    3.0000E-02     1.0000E-02
 19860305  1120    1.0000E-02     1.0000E-02
 19860305  1121    1.0000E-02     1.0000E-02
 19860305  1125    1.0000E-02     1.0000E-02
 19860506  1130    1.0000E-02*    1.0000E-02
 19860506  1135    1.0000E-02*    1.0000E-02
 19860702  1100    1.0000E-02     1.0000E-02
 19860702  1110    1.0000E-02*    1.0000E-02
 19860903  1100    1.0000E-02*    1.0000E-02
 19860903  1105    1.0000E-02     1.0000E-02
 19861104  1100    1.0000E-02     1.0000E-02
 19861104  1105    1.0000E-02     1.0000E-02
 19870106  1110    3.0000E-02     1.0000E-02
 19870106  1115    2.0000E-02     1.0000E-02
 19870302  1115    3.0000E-02     1.0000E-02
 19870302  1120    3.0000E-02     1.0000E-02
 19870514  1015    1.0000E-02*    1.0000E-02
 19870514  1020    3.0000E-02     1.0000E-02
 19870707  1105    7.0000E-02     1.0000E-02
 19870707  1110    7.0000E-02     1.0000E-02
 19870909  1025    2.0000E-02     1.0000E-02
 19870909  1030    3.0000E-02     1.0000E-02
 19871110  1045    1.0000E-02*    1.0000E-02
 19871110  1050    1.0000E-02     1.0000E-02
 19880107  1040    3.1000E-02     1.0000E-02
 19880301  1100    1.0000E-02*    1.0000E-02
 19880301  1105    1.0000E-02*    1.0000E-02
 19880503  1100    1.0000E-02*    1.0000E-02
 19880503  1105    1.0000E-02*    1.0000E-02
 19880708  1005    1.0000E-02*    1.0000E-02
 19880708  1010    1.0000E-02*    1.0000E-02
 19880907  1045    1.0000E-02*    1.0000E-02
 19880907  1050    4.0000E-02     1.0000E-02
 19881101  1020    1.0000E-02     1.0000E-02
 19881101  1025    1.0000E-02     1.0000E-02
 19890105  1100    2.0000E-02     1.0000E-02
 19890105  1105    1.0000E-02*    1.0000E-02
 19890315  1050    2.0000E-02     1.0000E-02
 19890315  1055    3.0000E-02     1.0000E-02
 19890504  1040    5.0000E-02     1.0000E-02
 19890504  1045    4.0000E-02     1.0000E-02
 19890627  1030    5.0000E-02     1.0000E-02
 19890627  1035    6.0000E-02     1.0000E-02
 19890906  1050    6.0000E-02     1.0000E-02
 19890906  1055    6.0000E-02     1.0000E-02
 19891031  1130    3.0000E-02     1.0000E-02
 19891031  1135    3.0000E-02     1.0000E-02
 19900130  1105    1.0000E-02     1.0000E-02
 19900306  1230    1.0000E-02*    1.0000E-02
 19900306  1235    1.0000E-02*    1.0000E-02
 19900501  1100    1.0000E-02*    1.0000E-02
 19900501  1105    1.0000E-02*    1.0000E-02
 19900626  1045    1.0000E-02*    1.0000E-02
 19900626  1050    1.0000E-02*    1.0000E-02
 19900905  1100    5.0000E-02     1.0000E-02
 19900905  1105    5.0000E-02     1.0000E-02


 * = Censored Observation
 ^ = Missing Observation
 # = uncensored observation is less than the detection limit that
     was initially assigned (assigned detection limit makes it look
     as if the observation is censored, when in fact it is not).
     Assigned detection limit reset to 1.E-25.





 ----------------------------------------------------------------------

          Echo Output File Part III: Constituent Output Files

 ----------------------------------------------------------------------


 Constituent                         File Name
 ------------------------------------------------------------
 orthophosphate                      orthophosphate.out                              



 -----------------------------------------------------------

                        Echo Output File Part IV:
              Reading from the Estimation File

 -----------------------------------------------------------


 No. of Observations of the Data Variables per Day (NOBSPD):    1

 (The remaining lines in the Estimation File are not echoed unless
 an error occurs)





 ----------------------------------------------------------------------

          Echo Output File Part V: Other Warnings and Error Messages

 ----------------------------------------------------------------------


